,,Base Commission,Attendance Bonus,Personal Goal Bonus,Store Goal Bonus,,
LINKNLOCK,"$2,482",$50,,,,,
LOVE,"$1,140",$17,,,,,
OROVENTI,"$3,243",$49,,,,,
UV,$900,$5,,,,,
NOVELLO,"$49,761",$498,,,,,
GOLD JEWL,"$32,345",$323,,,,,
WATCH,"$12,838",$128,,,,,
NATURAL,"$5,666",$57,,,,,
BELLA OVAN,"$3,900",$39,,,,,
AANIKA.V,"$3,418",$34,,,,,
QUINCE,$751,$8,,,,,
PLAIN,$625,$6,,,,,
DIANI,$591,$6,,,,,
OVANI,-$448,-$4,,,,,
Other,"$14,600",$146,,,,,"add dummy data for stores goal and employee personal goal which are in the august timecard, because we are going to implement comission struucture , ye design wise hoga , jese apko sales show hori , design wise wese hi hr management sales n hy esign wise, tu es mn har design ki total sales, net sales, personal goal, store goal, attendace involve hoti comission structire mn, aik case lete for example zoya ki net sale 131,812 pore august ki hy, tu design wise distribution dummty data dikh rha apko sheet mn, so phly base comiision mn jo formula hy wohi use hoga base k liye , base sb ko hi mily ga , jese link n lock ka 2% , neechy total 1360 sbka ,attendence bounus agar employee ki attendence mn schedule hy but timcard mn ni hy tu absent hy, agar 4 sy kam absent hn tu ok , jese absent 3 sy zyada tu usko personal goal bhi ni milyga na attendence bonus, agar attendence bonus pass aur personal goal bhi pass , tu personal goal bonus attendence bonus ka half milyga , same store goal bonus bhi acieve krta tu attendence bonus ka half milyga , yahan personal goal 114000 hy, store goal 285000 hy , zoya ny sale 131812, total store ki sale 311349 howi tu aur zoya ki absent koi ni pora month tu pore month ka comission structrue bnta es trha "
Total Sales,"$131,812","$1,360","$1,360",$680,$680,,
,,,,,,,
,,,,,,,
Personal ,Store,,,,,,
"$114,000.00","$285,000.00",Goal,,,,,
"$131,812.00","$311,349.00",Sale,,,,,
,,,,,,,
Attendance Violations,2,,,,,,
